year,species_code,comp_type,base_iss_age,sub_iss_age,sub_samp,region
2019,21740,male,86.39366498631863,84.59336159993883,a90,goa
2019,21740,total,86.20422839959579,85.23333160960485,a90,goa
2019,30051,female,36.751812470885866,34.45575368405717,a90,goa
2019,30051,male,44.01378529993296,41.728863491368635,a90,goa
2019,30051,total,81.32191806114255,76.95067129503502,a90,goa
2019,30052,female,15.516053305177545,14.944492747472031,a90,goa
2019,30052,male,14.936578120576376,14.043111561145926,a90,goa
2019,30052,total,27.917177850941552,26.670659598585985,a90,goa
2019,30060,female,219.82059222425423,209.77125427880645,a90,goa
2019,30060,male,228.6658326685559,220.3247856802018,a90,goa
2019,30060,total,335.3560653133588,324.5462606914428,a90,goa
2019,30152,female,93.38057926269308,87.48162967860867,a90,goa
2019,30152,male,83.33624122083617,78.64563154594006,a90,goa
2019,30152,total,159.78506404010972,151.08411397032594,a90,goa
2019,30420,female,81.33689920582191,76.10486383477765,a90,goa
2019,30420,male,64.97976917483362,61.22941620896056,a90,goa
2019,30420,total,142.4854049194597,133.8195348317521,a90,goa
2021,10130,female,90.83865053250209,80.39540168883853,a90,goa
2021,10130,male,86.30947931297418,76.1671255554756,a90,goa
2021,10130,total,173.3758101955098,153.61538438562,a90,goa
2021,10262,female,258.34920792560393,246.8556259870736,a90,goa
2021,10262,male,109.2490533487583,104.11413393232044,a90,goa
2021,10262,total,343.70937674499163,328.8400156369019,a90,goa
2021,21720,female,117.7937596530778,109.81344538144792,a90,goa
2021,21720,male,108.80576064379208,102.10495721069265,a90,goa
2021,21720,total,168.40110348159476,157.26731371479022,a90,goa
2021,21740,female,85.32504230384372,84.4342402464433,a90,goa
2021,21740,male,82.77563206539466,82.41509537748823,a90,goa
2021,21740,total,90.83417210043716,90.49852136323038,a90,goa
2021,30052,female,51.419259173018695,48.982510724517624,a90,goa
2021,30052,male,47.945732623765096,44.94631736139658,a90,goa
2021,30052,total,97.04567946931226,92.63038141000592,a90,goa
2021,30060,female,184.6296238951464,175.0884194857306,a90,goa
2021,30060,male,231.16437497791324,219.15777276872157,a90,goa
2021,30060,total,347.90823972357026,332.6933607477225,a90,goa
2021,30152,female,79.44740174725867,75.70668227373216,a90,goa
2021,30152,male,64.50588755301776,61.297032099153235,a90,goa
2021,30152,total,128.2078189406403,122.81807362088068,a90,goa
2021,30420,female,100.11122427949252,94.65072646257426,a90,goa
2021,30420,male,106.48435571169271,100.75400453111692,a90,goa
2021,30420,total,193.6819847966771,183.60487321172187,a90,goa
2014,10110,female,75.22523473538247,28.438414894763167,a25,ai
2014,10110,male,48.46708304514218,17.80889681839913,a25,ai
2014,10110,total,116.65574459237148,46.955432352530394,a25,ai
2014,21720,female,100.72746639674276,37.05739806353699,a25,ai
2014,21720,male,106.83058840202158,42.907939910348894,a25,ai
2014,21720,total,156.85915671437945,67.90996407845317,a25,ai
2014,21740,female,6.826461920436276,5.645625306244092,a25,ai
2014,21740,male,7.262744162229915,5.4445356631748965,a25,ai
2014,21740,total,7.2522813623445295,6.098561192159136,a25,ai
2014,21921,female,57.75281826198161,25.47624848230105,a25,ai
2014,21921,male,48.72266202722737,23.701240359601982,a25,ai
2014,21921,total,76.68732883913005,41.667377104647464,a25,ai
2014,30051,female,3.168719443793477,2.2429674105682076,a25,ai
2014,30051,male,5.868631583547544,3.323742116415936,a25,ai
2014,30051,total,6.084840434909339,3.2483073462907273,a25,ai
2014,30052,female,67.37767428607421,26.166490006810776,a25,ai
2014,30052,male,72.55703852715745,28.505202679559257,a25,ai
2014,30052,total,131.00583459451795,53.58788769930904,a25,ai
2014,30060,female,142.5696664352136,58.33480912767628,a25,ai
2014,30060,male,135.66205585741272,50.44305313167606,a25,ai
2014,30060,total,222.55426898865423,95.37466596263124,a25,ai
2014,30420,female,81.11002984011922,29.67967432641911,a25,ai
2014,30420,male,75.4186928692002,26.300238110646188,a25,ai
2014,30420,total,141.47666767762755,54.54696305617037,a25,ai
2016,10110,female,136.27785364773837,46.91204898965716,a25,ai
2016,10110,male,49.931653104532785,19.369825853880403,a25,ai
2016,10110,total,127.23454938733084,53.49002385239782,a25,ai
2016,10112,female,71.83287371733095,28.618319770876532,a25,ai
2016,10112,male,67.44351988178533,30.42822157368995,a25,ai
